time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
78.6506,0.0204082,0,0,0.0408163,All
79.3709,0.0204082,0,0,0.0408163,All
80.0912,0.0204082,0,0,0.0408163,All
80.8115,0.02,0,0,0.04,All
81.5317,0.0192308,0,0,0.0384615,All
82.252,0.0185185,0,0,0.037037,All
82.9723,0.0181818,0,0,0.0363636,All
83.6925,0.0178571,0,0,0.0357143,All
84.4128,0.0175439,0,0,0.0350877,All
85.1331,0.0175439,0,0,0.0350877,All
85.8534,0.0172414,0,0,0.0344828,All
86.5736,0.0169492,0,0,0.0338983,All
87.2939,0.0169492,0,0,0.0338983,All
88.0142,0.0163934,0.0163934,0,0.0327869,All
88.7344,0.016129,0.016129,0,0.0322581,All
89.4547,0.015873,0.015873,0,0.031746,All
90.175,0.015625,0.015625,0,0.03125,All
90.8953,0.015625,0.015625,0,0.03125,All
91.6155,0.0153846,0.0153846,0,0.0307692,All
92.3358,0.0153846,0.0153846,0,0.0307692,All
93.0561,0.0153846,0.0153846,0,0.0307692,All
93.7763,0.0151515,0.0151515,0,0.030303,All
94.4966,0.0151515,0.0151515,0,0.030303,All
95.2169,0.0151515,0.0151515,0,0.030303,All
95.9372,0.0149254,0.0149254,0,0.0298507,All
96.6574,0.0147059,0.0147059,0,0.0294118,All
97.3777,0.0144928,0.0144928,0,0.0289855,All
98.098,0.0142857,0.0142857,0,0.0285714,All
98.8182,0.0142857,0.0142857,0,0.0285714,All
99.5385,0.0140845,0.0140845,0,0.028169,All
100.259,0.0140845,0.0140845,0,0.028169,All
100.979,0.0140845,0.0140845,0,0.028169,All
101.699,0.0138889,0.0138889,0,0.0277778,All
102.42,0.0138889,0.0138889,0,0.0277778,All
103.14,0.0138889,0.0138889,0,0.0277778,All
103.86,0.0138889,0.0138889,0,0.0277778,All
104.58,0.0136986,0.0136986,0,0.0273973,All
105.301,0.0136986,0.0136986,0,0.0273973,All
106.021,0.0136986,0.0136986,0,0.0273973,All
106.741,0.0136986,0.0136986,0,0.0273973,All
107.461,0.0136986,0.0136986,0,0.0273973,All
108.182,0.0136986,0.0136986,0,0.0273973,All
108.902,0.0136986,0.0136986,0,0.0273973,All
109.622,0.0136986,0.0136986,0,0.0273973,All
110.343,0.0136986,0.0136986,0,0.0273973,All
111.063,0.0136986,0.0136986,0,0.0273973,All
111.783,0.0136986,0.0136986,0,0.0273973,All
112.503,0.0136986,0.0136986,0,0.0273973,All
113.224,0.0136986,0.0136986,0,0.0273973,All
113.944,0.0136986,0.0136986,0,0.0273973,All
114.664,0.0136986,0.0136986,0,0.0273973,All
115.384,0.0136986,0.0136986,0,0.0273973,All
116.105,0.0136986,0.0136986,0,0.0273973,All
116.825,0.0136986,0.0136986,0,0.0273973,All
117.545,0.0136986,0.0136986,0,0.0273973,All
118.266,0.0136986,0.0136986,0,0.0273973,All
118.986,0.0136986,0.0136986,0,0.0273973,All
119.706,0.0136986,0.0136986,0,0.0273973,All
120.426,0.0136986,0.0136986,0,0.0273973,All
121.147,0.0133333,0.0133333,0,0.0266667,All
121.867,0.0133333,0.0133333,0,0.0266667,All
122.587,0.0131579,0.0131579,0,0.0263158,All
123.307,0.0131579,0.0131579,0,0.0263158,All
124.028,0.012987,0.012987,0,0.025974,All
124.748,0.012987,0.012987,0,0.025974,All
125.468,0.012987,0.012987,0,0.025974,All
126.189,0.0128205,0.0128205,0,0.025641,All
126.909,0.0128205,0.0128205,0,0.025641,All
127.629,0.0128205,0.0128205,0,0.025641,All
128.349,0.0253165,0.0126582,0,0.0253165,All
129.07,0.0246914,0.0123457,0,0.0246914,All
129.79,0.0246914,0.0123457,0,0.0246914,All
130.51,0.0243902,0.0121951,0,0.0243902,All
131.23,0.0243902,0.0121951,0,0.0243902,All
131.951,0.0240964,0.0120482,0,0.0240964,All
132.671,0.0240964,0.0120482,0,0.0240964,All
133.391,0.0240964,0.0120482,0,0.0240964,All
134.112,0.0238095,0.0119048,0,0.0238095,All
134.832,0.0238095,0.0119048,0,0.0238095,All
135.552,0.0238095,0.0119048,0,0.0238095,All
136.272,0.0235294,0.0117647,0,0.0352941,All
136.993,0.0235294,0.0117647,0,0.0352941,All
137.713,0.0235294,0.0117647,0,0.0352941,All
138.433,0.0235294,0.0117647,0,0.0352941,All
139.153,0.0235294,0.0117647,0,0.0352941,All
139.874,0.0235294,0.0117647,0,0.0352941,All
140.594,0.0235294,0.0117647,0,0.0352941,All
141.314,0.0235294,0.0117647,0,0.0352941,All
142.035,0.0235294,0.0117647,0,0.0352941,All
142.755,0.0235294,0.0117647,0,0.0352941,All
143.475,0.0235294,0.0117647,0,0.0352941,All
144.195,0.0235294,0.0117647,0,0.0352941,All
144.916,0.0235294,0.0117647,0,0.0352941,All
145.636,0.0235294,0.0117647,0,0.0352941,All
146.356,0.0235294,0.0117647,0,0.0352941,All
147.076,0.0235294,0.0117647,0,0.0352941,All
147.797,0.0235294,0.0117647,0,0.0352941,All
148.517,0.0235294,0.0117647,0,0.0352941,All
149.237,0.0235294,0.0117647,0,0.0352941,All
149.958,0.0235294,0.0117647,0,0.0352941,All
150.678,0.0235294,0.0117647,0,0.0352941,All
151.398,0.0235294,0.0117647,0,0.0352941,All
152.118,0.0235294,0.0117647,0,0.0352941,All
152.839,0.0235294,0.0117647,0,0.0352941,All
153.559,0.0235294,0.0117647,0,0.0352941,All
154.279,0.0235294,0.0117647,0,0.0352941,All
154.999,0.0235294,0.0117647,0,0.0352941,All
155.72,0.0235294,0.0117647,0,0.0352941,All
156.44,0.0235294,0.0117647,0,0.0352941,All
157.16,0.0235294,0.0117647,0,0.0352941,All
157.88,0.0235294,0.0117647,0,0.0352941,All
158.601,0.0235294,0.0117647,0,0.0352941,All
159.321,0.0235294,0.0117647,0,0.0352941,All
160.041,0.0235294,0.0117647,0,0.0352941,All
160.762,0.0235294,0.0117647,0,0.0352941,All
161.482,0.0235294,0.0117647,0,0.0352941,All
162.202,0.0235294,0.0117647,0,0.0352941,All
162.922,0.0235294,0.0117647,0,0.0352941,All
163.643,0.0235294,0.0117647,0,0.0352941,All
164.363,0.0235294,0.0117647,0,0.0352941,All
165.083,0.0235294,0.0117647,0,0.0352941,All
165.803,0.0235294,0.0117647,0,0.0352941,All
166.524,0.0235294,0.0117647,0,0.0352941,All
167.244,0.0235294,0.0117647,0,0.0352941,All
167.964,0.0235294,0.0117647,0,0.0352941,All
168.685,0.0232558,0.0116279,0,0.0348837,All
169.405,0.0229885,0.0114943,0,0.0344828,All
170.125,0.0227273,0.0113636,0,0.0340909,All
170.845,0.0227273,0.0113636,0,0.0340909,All
171.566,0.0224719,0.011236,0,0.0337079,All
172.286,0.0224719,0.011236,0,0.0337079,All
173.006,0.0224719,0.011236,0,0.0337079,All
173.726,0.0222222,0.0111111,0,0.0333333,All
174.447,0.0222222,0.0111111,0,0.0333333,All
175.167,0.021978,0.010989,0,0.032967,All
